step,train_loss,train_mean_token_accuracy,valid_loss,valid_mean_token_accuracy,full_valid_loss,full_valid_mean_token_accuracy
1,1.1705325841903687,0.8085106611251831,1.5903239250183105,0.6458333333333334,,
2,1.4664421081542969,0.6666666865348816,1.8575635323157678,0.717948717948718,,
3,0.8294601440429688,0.807692289352417,1.9389898838141026,0.6923076923076923,,
4,1.5023356676101685,0.7142857313156128,0.8601803249782987,0.8148148148148148,,
5,1.6166969537734985,0.7105262875556946,1.007291909420129,0.7424242424242424,,
6,1.5915387868881226,0.692307710647583,1.3741011368600946,0.7105263157894737,,
7,1.109976053237915,0.7761194109916687,1.167656244016161,0.7450980392156863,,
8,0.9531394243240356,0.7777777910232544,1.0707031687100728,0.75,,
9,0.7484108209609985,0.8266666531562805,1.3109933280944823,0.68,,
10,1.7845420837402344,0.71875,1.356974356515067,0.7142857142857143,,
11,1.364290475845337,0.7450980544090271,1.203514575958252,0.725,,
12,1.039964199066162,0.7833333611488342,0.8668249485104583,0.8372093023255814,,
13,1.236344337463379,0.7358490824699402,1.3250313294239533,0.717948717948718,,
14,1.1953387260437012,0.7352941036224365,1.0175860993405605,0.7659574468085106,,
15,1.1510560512542725,0.7749999761581421,1.086029419532189,0.7435897435897436,,
16,0.7379502058029175,0.8030303120613098,1.1001189874143016,0.7755102040816326,,
17,0.9215357303619385,0.7446808218955994,1.2214328147269584,0.7567567567567568,,
18,0.7332030534744263,0.782608687877655,0.8459869582077553,0.7241379310344828,,
19,1.061705470085144,0.7105262875556946,0.8844524871471316,0.8604651162790697,,
20,0.7077780365943909,0.8983050584793091,0.8499068021774292,0.7708333333333334,,
21,1.0208011865615845,0.7843137383460999,0.7875698861621675,0.8333333333333334,,
22,0.9503697156906128,0.75,0.8208858135134675,0.7906976744186046,,
23,0.8075721263885498,0.8269230723381042,0.8636839787165324,0.7916666666666666,,
24,0.7486173510551453,0.8163265585899353,0.9331452296330378,0.7948717948717948,,
25,0.6792930960655212,0.7575757503509521,0.9860704862154447,0.7435897435897436,,
26,0.8099948167800903,0.8095238208770752,0.5558897418740355,0.8518518518518519,,
27,0.46658799052238464,0.868852436542511,0.5908134055860115,0.8636363636363636,,
28,0.43278396129608154,0.8292682766914368,0.5238481320832905,0.8157894736842105,,
29,0.5968601703643799,0.7837837934494019,0.5255107505648744,0.7843137254901961,,
30,0.5273160934448242,0.7540983557701111,0.41871146361033124,0.8125,,
31,0.6854430437088013,0.7837837934494019,0.607856101989746,0.8,,
32,0.5356317162513733,0.8235294222831726,0.5701632908412388,0.7714285714285715,,
33,0.5592742562294006,0.8409090638160706,0.49478850364685056,0.775,,
34,0.4693008363246918,0.8461538553237915,0.25799556111180505,0.9302325581395349,,
35,0.5006667375564575,0.8679245114326477,0.43869849963065904,0.8717948717948718,,
36,0.5377678275108337,0.8163265585899353,0.3315464587921792,0.9361702127659575,,
37,0.6548067331314087,0.7368420958518982,0.46472564110389125,0.8205128205128205,,
38,0.43489035964012146,0.8627451062202454,0.4304333900918766,0.8979591836734694,,
39,0.3036399483680725,0.8648648858070374,0.5524737899367874,0.8378378378378378,,
40,0.24631460011005402,0.9016393423080444,0.4129391045405947,0.8448275862068966,,
41,0.43920883536338806,0.8199999928474426,0.2686369252759357,0.9069767441860465,,
42,0.3681229054927826,0.8500000238418579,0.414519468943278,0.8333333333333334,,
43,0.2776735723018646,0.931506872177124,0.4675635383242652,0.8571428571428571,,
44,0.7007507681846619,0.7796609997749329,0.3589578672896984,0.8604651162790697,,
45,0.35470905900001526,0.8695651888847351,0.3844204346338908,0.8541666666666666,,
46,0.3387148678302765,0.8372092843055725,0.4229272695688101,0.8461538461538461,,
47,0.5369811654090881,0.8125,0.4810633048033103,0.8461538461538461,,
48,0.35338592529296875,0.9272727370262146,0.307771447264118,0.9012345679012346,,
49,0.42636048793792725,0.9166666865348816,0.33683242219867127,0.8939393939393939,,
50,0.3394889831542969,0.8571428656578064,0.17224367041336863,0.9473684210526315,,
51,0.2548791468143463,0.8999999761581421,0.3004288392908433,0.9019607843137255,,
52,0.17941425740718842,0.9428571462631226,0.16988428433736166,0.9375,,
53,0.36460575461387634,0.9024389982223511,0.26070629119873046,0.88,,
54,0.3622377812862396,0.8571428656578064,0.24561418805803573,0.8857142857142857,,
55,0.5876898169517517,0.8333333134651184,0.20391769409179689,0.95,,
56,0.2963200509548187,0.8444444537162781,0.1578905416089435,0.9767441860465116,,
57,0.43091773986816406,0.8604651093482971,0.1830160189897586,0.9487179487179487,,
58,0.2863540053367615,0.90625,0.21933588068535986,0.9361702127659575,,
59,0.30864784121513367,0.8936170339584351,0.1870751014122596,0.9230769230769231,,
60,0.3348580300807953,0.8775510191917419,0.2468771253313337,0.9387755102040817,,
61,0.25339269638061523,0.930232584476471,0.1922473907470703,0.918918918918919,,
62,0.44979310035705566,0.8947368264198303,0.3334645567269161,0.8448275862068966,,
63,0.2583480179309845,0.9130434989929199,0.1640399223150209,0.9767441860465116,,
64,0.4414914548397064,0.8833333253860474,0.26640840371449787,0.875,,
65,0.5292766690254211,0.8591549396514893,0.3365582057407924,0.9047619047619048,,
66,0.20724089443683624,0.9333333373069763,0.2363360648931459,0.9069767441860465,,
67,0.18194395303726196,0.9538461565971375,0.3022903601328532,0.9166666666666666,,
68,0.21462397277355194,0.9090909361839294,0.2052440154246795,0.9487179487179487,,
69,0.18926845490932465,0.9333333373069763,0.2785435211964143,0.9230769230769231,,
70,0.28506383299827576,0.8684210777282715,0.26050970289442277,0.9259259259259259,,
71,0.16383272409439087,0.9411764740943909,0.26632886944395123,0.9242424242424242,,
72,0.24612212181091309,0.8999999761581421,0.10938619312487151,0.9473684210526315,,
73,0.24585583806037903,0.9298245906829834,0.2612151351629519,0.9215686274509803,,
74,0.14254894852638245,0.931034505367279,0.11547752221425374,0.9583333333333334,,
75,0.10016689449548721,0.9333333373069763,0.1576565170288086,0.92,,
76,0.1979607194662094,0.931034505367279,0.1641355242047991,0.9142857142857143,,
77,0.338547945022583,0.8799999952316284,0.16757750511169434,0.975,,
78,0.1116839125752449,0.9534883499145508,0.1975189031556595,0.9302325581395349,,
79,0.3147558271884918,0.8421052694320679,0.11780093266413762,0.9743589743589743,,
80,0.20226086676120758,0.9210526347160339,0.1737283747246925,0.9148936170212766,,
81,0.4992313086986542,0.8148148059844971,0.13126339056552985,0.9487179487179487,,
82,0.245855450630188,0.9016393423080444,0.19275011335100448,0.9591836734693877,,
83,0.22429120540618896,0.930232584476471,0.09614820738096495,0.972972972972973,,
84,0.07110723853111267,0.982758641242981,0.293559008631213,0.8620689655172413,,
85,0.35843050479888916,0.8947368264198303,0.161564405574355,0.9767441860465116,,
86,0.06922227889299393,0.9772727489471436,0.2182284196217855,0.9375,,
87,0.23837202787399292,0.8809523582458496,0.30062566484723774,0.9285714285714286,,
88,0.48453623056411743,0.7894737124443054,0.22618994601937228,0.9069767441860465,,
